100 2475
19 20 697
68 97 272
81 94 29
9 86 177
80 67 271
70 27 351
67 23 528
10 81 472
70 18 709
69 99 156
50 88 994
1 69 896
70 30 257
38 2 630
67 20 891
8 18 562
93 10 871
67 59 965
12 80 598
84 93 747
92 27 535
84 75 567
16 98 175
42 48 117
79 63 733
78 8 713
56 54 13
12 62 743
40 68 42
53 86 527
90 37 81
14 1 199
41 35 916
6 47 406
50 97 695
87 16 837
43 66 497
70 40 409
28 0 413
64 47 780
92 84 745
85 20 91
16 49 801
36 22 253
79 70 548
94 74 237
60 9 223
11 0 859
7 46 528
22 63 296
38 7 930
3 15 534
66 40 327
70 42 924
3 26 530
53 77 977
83 17 937
29 72 425
92 73 503
92 37 463
77 89 261
20 58 133
91 36 981
20 4 454
21 8 542
56 29 399
47 8 856
17 82 217
54 66 739
49 90 3
16 18 825
5 94 19
91 75 230
16 32 775
20 13 416
23 64 330
78 94 881
88 39 821
87 83 540
17 53 162
31 15 485
46 22 577
63 78 225
78 10 580
12 52 477
98 21 244
95 86 929
27 3 574
71 50 674
51 77 610
85 99 157
10 6 212
60 10 103
73 95 705
7 43 701
80 98 454
92 97 911
59 46 178
59 9 318
26 40 875
1 40 254
28 18 284
74 62 300
67 21 455
3 58 541
30 39 359
1 27 384
76 94 112
43 27 721
67 71 542
88 21 906
1 60 567
3 38 493
22 95 144
7 92 113
59 62 788
49 39 311
28 74 584
28 22 690
42 92 98
72 48 888
70 57 979
92 4 496
48 62 629
76 32 256
6 49 617
88 77 707
30 27 449
93 49 888
11 95 791
70 24 611
90 36 220
67 52 281
98 58 909
63 79 174
37 35 510
12 34 421
10 25 115
67 87 199
50 35 431
77 64 748
5 23 760
96 43 257
27 80 937
69 24 65
19 14 221
27 27 324
75 63 304
59 8 213
79 15 735
20 12 775
65 90 975
90 90 356
97 74 132
40 56 62
31 25 972
47 79 390
47 39 519
76 36 941
98 52 77
82 97 169
51 69 103
73 5 286
84 61 972
33 92 509
13 8 804
97 37 263
63 62 537
45 86 983
56 66 203
31 31 151
37 3 431
82 17 625
14 10 876
22 82 473
87 75 762
90 76 849
53 16 385
15 95 537
59 14 118
52 39 944
8 84 225
49 22 550
88 60 251
41 93 222
86 96 253
25 67 889
24 4 735
83 2 164
20 25 27
63 19 453
4 44 443
21 40 586
4 3 169
94 63 223
34 78 627
39 58 73
61 42 99
79 52 487
81 60 584
8 57 99
18 57 136
76 87 86
5 33 496
80 40 697
68 40 489
7 29 770
93 23 688
2 87 556
87 81 331
97 67 992
17 10 767
33 56 784
66 41 319
43 33 257
27 17 438
21 85 693
13 74 415
84 48 336
65 81 495
93 26 144
16 41 724
59 81 162
56 58 43
56 4 497
10 72 861
64 18 22
99 98 761
21 88 862
95 34 194
29 41 942
19 92 91
83 80 312
26 97 545
50 30 342
98 65 625
28 4 523
4 40 471
34 39 76
18 4 596
88 10 267
38 61 643
7 60 185
99 51 331
66 35 924
74 89 784
12 17 79
54 19 210
34 58 810
31 44 345
84 66 250
32 86 908
77 67 115
23 92 2
30 66 699
54 98 605
5 78 169
24 28 403
16 34 74
47 61 957
75 88 675
35 4 223
56 38 828
29 73 497
99 14 694
92 98 950
46 63 510
64 20 364
42 86 416
33 58 895
15 75 424
56 79 525
10 54 589
1 62 490
44 13 404
91 26 738
14 23 541
83 31 124
62 96 304
1 35 701
99 79 213
80 77 820
65 57 737
79 27 638
67 7 612
98 46 685
63 73 802
23 83 713
1 91 624
14 95 212
52 95 565
87 13 416
24 37 297
28 83 828
19 32 826
19 11 100
64 74 686
81 58 688
51 38 509
59 22 799
66 33 599
88 56 872
10 78 20
92 76 909
38 48 35
53 8 695
49 44 961
27 64 388
31 19 794
10 38 580
44 70 627
20 61 673
77 8 604
79 92 271
72 6 460
0 20 196
55 15 851
97 17 870
27 61 382
41 1 950
23 13 255
37 95 751
79 78 399
69 63 346
58 28 960
95 52 848
99 65 414
89 9 658
93 8 24
68 85 750
29 10 981
83 26 331
7 62 513
76 4 482
68 38 713
39 66 178
21 56 644
57 98 898
60 28 656
5 38 64
35 50 524
71 57 895
67 80 922
91 24 884
76 26 58
65 14 250
48 74 875
30 42 640
60 96 498
3 29 388
13 69 455
50 0 294
61 8 589
61 66 605
6 25 806
50 11 803
87 48 647
15 60 396
30 22 785
